ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Meta: _elementor_global_class_usage_indexed","Meta: _elementor_global_class_usage_indexed_preview"
19,variable,,,"Kalvolac Classic Original",1,0,visible,,"<img class=""alignnone size-medium wp-image-34"" src=""https://jendelaternakmalang.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-17-at-1.26.25-300x300.webp"" alt="""" width=""300"" height=""300"" />",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://jendelaternakmalang.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-17-at-1.26.25.webp,,,,,,,,,0,,Size,"L, M, S",1,0,L,1
36,variable,,,"Jendela Fish Oil",1,0,visible,,"<img class=""alignnone size-medium wp-image-37"" src=""https://jendelaternakmalang.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-17-at-1.26.26-300x300.webp"" alt="""" width=""300"" height=""300"" />",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://jendelaternakmalang.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-17-at-1.26.26.webp,,,,,,,,,0,,Size,"L, M, S",1,0,L,1
38,variable,,,"Tempat Minum Ayam Otomatis",1,0,visible,,"<img class=""alignnone size-medium wp-image-39"" src=""https://jendelaternakmalang.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-17-at-1.26.27-300x300.webp"" alt="""" width=""300"" height=""300"" />",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://jendelaternakmalang.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-17-at-1.26.27.webp,,,,,,,,,0,,Size,"L, M, S",1,0,L,1
123,variation,,,"Tempat Minum Ayam Otomatis - M",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20000,,,,https://jendelaternakmalang.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-17-at-1.26.27.webp,,,id:38,,,,,,3,,Size,M,,0,,
124,variation,,,"Jendela Fish Oil - L",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,30000,,,,https://jendelaternakmalang.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-17-at-1.26.26.webp,,,id:36,,,,,,3,,Size,L,,0,,
129,variation,,,"Jendela Fish Oil - M",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,25000,,,,,,,id:36,,,,,,1,,Size,M,,0,,
130,variation,,,"Jendela Fish Oil - S",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20000,,,,,,,id:36,,,,,,2,,Size,S,,0,,
133,variation,,,"Tempat Minum Ayam Otomatis - L",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,23000,,,,https://jendelaternakmalang.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-17-at-1.26.27.webp,,,id:38,,,,,,1,,Size,L,,0,,
134,variation,,,"Tempat Minum Ayam Otomatis - S",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,17000,,,,https://jendelaternakmalang.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-17-at-1.26.27.webp,,,id:38,,,,,,2,,Size,S,,0,,
140,variation,,,"Kalvolac Classic Original - L",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,39000,,,,https://jendelaternakmalang.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-17-at-1.26.25.webp,,,id:19,,,,,,1,,Size,L,,0,,
141,variation,,,"Kalvolac Classic Original - M",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35000,,,,https://jendelaternakmalang.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-17-at-1.26.25.webp,,,id:19,,,,,,2,,Size,M,,0,,
142,variation,,,"Kalvolac Classic Original - S",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,30000,,,,https://jendelaternakmalang.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-17-at-1.26.25.webp,,,id:19,,,,,,3,,Size,S,,0,,
262,simple,TTS00001,,"NIPPLE KELINCI STAINLESS 1 PCS -  Nippel untuk Hamster Marmut Kelinci Otomatis",1,0,visible,,"<strong>NIPPLE KELINCI STAINLESS KOMPLIT</strong>
\n
\n<strong>Deskripsi:</strong>
\n
\n100% baru dan berkualitas tinggi. Bagus untuk Kelinci, Ferrets, Chinchilla atau hewan kecil lainnya, Dapat digunakan dengan berbagai kandang kawat. Tanpa tumpah dan berendam, untuk memastikan kelinci bisa mendapatkan air bersih dan segar. Sangat mudah digunakan, cukup hubungkan ke pipa selang dan kaitkan ke kandang kelinci, hemat tenaga dan waktu Anda. Datang dengan pegas kecil yang dapat memperbaiki puting pada kawat. Setiap peminum memiliki tiga bagian: nosel air, pegas, T-ayam (Seperti yang ditunjukkan gambar).
\n
\n<strong>Fitur:</strong>
\n<ul>
\n 	<li>Bahan: Stainless Steel, Plastik.</li>
\n 	<li>Ukuran Nozzle Air: kira-kira. 35mm x 28mm.</li>
\n 	<li>T Tubing ukuran: 3,4 * 3,8 cm.</li>
\n</ul>",,,taxable,,1,,,0,0,100,3,7,2,1,,,3510,"Perlengakapan Ternak",,,https://jendelaternakmalang.com/wp-content/uploads/2026/06/Nipple-Kelinci-Stainless-1-Pcs-_-Pak-Sonny.png,,,,,,,,,0,,,,,,,1
266,simple,TTS00001X10,,"NIPPLE KELINCI STAINLES ISI 10 - Nipel Hamster Marmut Kelinci Otomatis",1,0,visible,,"<strong>NIPPLE KELINCI STAINLESS KOMPLIT 10 PCS</strong>
\n
\n<strong>Deskripsi:</strong>
\n
\n100% baru dan berkualitas tinggi. Bagus untuk Kelinci, Ferrets, Chinchilla atau hewan kecil lainnya, Dapat digunakan dengan berbagai kandang kawat. Tanpa tumpah dan berendam, untuk memastikan kelinci bisa mendapatkan air bersih dan segar. Sangat mudah digunakan, cukup hubungkan ke pipa selang dan kaitkan ke kandang kelinci, hemat tenaga dan waktu Anda. Datang dengan pegas kecil yang dapat memperbaiki puting pada kawat. Setiap peminum memiliki tiga bagian: nosel air, pegas, T-ayam (Seperti yang ditunjukkan gambar).
\n
\n<strong>Fitur:</strong>
\n<ul>
\n 	<li>Bahan: Stainless Steel, Plastik.</li>
\n 	<li>Ukuran Nozzle Air: kira-kira. 35mm x 28mm.</li>
\n 	<li>T Tubing ukuran: 3,4 * 3,8 cm.</li>
\n</ul>",,,taxable,,1,,,0,0,90,5,14,6,1,,,30150,"Perlengakapan Ternak",,,https://jendelaternakmalang.com/wp-content/uploads/2026/06/Nipple-Kelinci-Stainless-10-Pcs-Pak-Sonny.png,,,,,,,,,0,,,,,,,1
267,simple,TTS00002,,"TEDUN 10 KAPSUL EKA FARMA - Untuk Ayam Turun Urat,Kaki Pincang, Bengkak Bubul, Iritasi, Luka.",1,0,visible,,"<strong>TEDUN 10 KAPSUL</strong>
\n
\nMengobati penyakit tedun pada ayam
\n
\n<strong>ATURAN PAKAI:</strong>
\n<ul>
\n 	<li>Pencegahan : 2 x 1 kapsul/hari sebelum tanding</li>
\n 	<li>Pengobatan : 3 x 1 kapsul/hari selama 1 – 2 minggu sampai sembuh</li>
\n</ul>
\n<strong>Selamat Belanja!</strong>",,,taxable,,1,,,0,0,50,6,15,6,1,,,6550,"Antibiotik & Anti Inflamasi",,,https://jendelaternakmalang.com/wp-content/uploads/2026/06/Tedun-10-Kapsul-_-Eka-Farma.png,,,,,,,,,0,,,,,,,1
269,simple,TTS00003,,"DURACOX HC 100 GRAM 1 PCS - Anti Koksi & Malaria Untuk Unggas Seperti Ayam, Bebek, Puyuh, Dll.",1,0,visible,,"<strong>Duracox HC</strong> adalah kombinasi dua bahan aktif yang bekerja secara sinergis dan memberikan efek potensiasi untuk penanganan Coccidiosis dan malaria pada unggas yang disebabkan oleh Protozoa.
\n
\n<strong>INDIKASI:</strong>
\n<ul>
\n 	<li>Mengobati Coccidiosis dan Malaria</li>
\n</ul>
\n<strong>DOSIS DAN ATURAN PAKAI:</strong>
\n<ul>
\n 	<li>2g/l air minum selama 3 hari berselang (2 x minggu)</li>
\n</ul>
\n<strong>KOMPOSISI:</strong>
\n<ul>
\n 	<li>Tiap kg mengandung:</li>
\n 	<li>Sulfaquinoxaline ....... 40g</li>
\n 	<li>Diaveridine ................. 10g</li>
\n</ul>
\n<strong>PERHATIAN</strong>
\n
\nSimpan di tempat sejuk, kering dan tertutup rapat.
\n
\n<strong>NETTO</strong>
\n
\nSachet 100g
\n
\n<strong>Selamat belanja!</strong>",,,taxable,,1,,,0,0,125,5,14,4,1,,,24900,"Obat Unggas",,,https://jendelaternakmalang.com/wp-content/uploads/2026/06/Duracox-Hc-100-Gram-_-Agrinusa.png,,,,,,,,,0,,,,,,,1
271,simple,TTS00003X10,,"DURACOX HC 100 GRAM 10 PCS BY AGRINUSA LEBIH MURAH - Untuk Anti Koksi & Malaria Pada Unggas Seperti Ayam, Bebek",1,0,visible,,"<strong>10 PCS DURACOX HC 100 GRAM BY AGRINUSA LEBIH MURAH</strong>
\n
\n<strong>Duracox HC</strong> adalah kombinasi dua bahan aktif yang bekerja secara sinergis dan memberikan efek potensiasi untuk penanganan Coccidiosis dan malaria pada unggas yang disebabkan oleh Protozoa.
\n
\n<strong>DOSIS DAN ATURAN PAKAI:</strong>
\n<ul>
\n 	<li>2g/l air minum selama 3 hari berselang (2 x minggu)</li>
\n</ul>
\n<strong>ISI:</strong>
\n<ul>
\n 	<li>10 PCS</li>
\n</ul>",,,taxable,,1,,,0,0,120,5,14,4,1,,,234900,"Obat Unggas",,,https://jendelaternakmalang.com/wp-content/uploads/2026/06/Duracox-Hc-100-Gram-_-Agrinusa-10-Pcs.jpg,,,,,,,,,0,,,,,,,1
273,simple,TTS00004,,"LIMOXIN 50 ISI 100 ML -  AB Untuk Hewan Ternak Sapi",1,0,visible,,"<strong>LIMOXIN-50</strong>
\n
\n<strong>DOSIS PEMAKAIAN:</strong>
\n
\n<strong>- Sapi, Kerbau, Kuda</strong>
\n<ul>
\n 	<li>&lt; 50 kg = 2 - 4 ml</li>
\n 	<li>50-100 kg = 4 - 8 ml</li>
\n 	<li>&gt; 100 kg = tiap kenaikan 25 kg dosis ditambah 2 ml</li>
\n</ul>
\n<strong>- Babi, Domba, Kambing</strong>
\n<ul>
\n 	<li>&lt; 5 kg = 0,5 - 1 ml</li>
\n 	<li>5-15 kg = 1 - 2 ml</li>
\n 	<li>15-30 kg = 2 - 4 ml</li>
\n 	<li>50 kg = 5 ml</li>
\n 	<li>&gt; 50 kg = Tiap kenaikan 25 kg dosis ditambah 1 ml</li>
\n</ul>
\n<strong>- Anjing, Kucing </strong>
\n<ul>
\n 	<li>0,5 - 2 ml</li>
\n</ul>
\n<strong>- Ayam</strong>
\n<ul>
\n 	<li>0,5 - 1 ml</li>
\n</ul>
\n- Pada induk babi, suntikan Limoxin-50 sebanyak 7 ml per 50 kg berat badan 8 jam sebelum atau segera setelah melahirkan untuk mencegah mencret pada anak babi yang disebabkan E. coli atau bakteri lain
\n
\n<strong>Kemasan </strong>= Vial 100 ml
\n
